query_id,time(ms)
1,129.0
2,79.0
3,53.5
4,3664.0
5,138.5
6,150.5
7,116.0
8,74.5
9,192.5
10,70.5
11,2359.0
13,137.0
14,1323.0
15,53.0
17,119.0
18,128.5
19,90.0
22,92.5
23,495.0
24,107.5
25,111.5
26,47.5
27,128.0
28,167.0
29,112.5
30,93.0
31,109.5
33,86.0
34,77.0
35,176.5
36,114.0
38,123.0
39,50.5
41,13.0
42,53.5
43,72.0
44,31.5
45,109.0
46,342.5
47,213.0
48,124.0
49,112.0
50,103.0
51,794.5
52,61.0
53,81.0
54,104.0
55,55.0
56,94.5
57,79.5
58,74.0
59,147.5
60,97.5
61,33.0
62,50.0
63,65.5
64,218.5
65,162.5
66,93.5
67,1077.5
68,136.0
69,34.0
70,95.0
71,95.0
72,377.5
73,77.0
74,1508.0
75,279.0
76,107.5
78,446.0
79,125.5
81,120.0
83,34.5
84,32.5
85,94.0
86,50.5
87,139.5
88,136.5
89,77.5
90,27.0
91,30.0
93,89.5
96,47.0
97,267.0
99,53.0
