query_id,avg_cpu_percent,avg_ram_gb
1,19.1,2.06
2,31.7,2.07
3,15.3,2.08
4,37.62,2.21
5,7.2,2.09
6,18.3,2.11
7,28.3,2.21
8,15.6,2.12
9,42.9,2.14
10,26.3,2.13
11,49.12,2.18
12,34.7,2.14
13,31.3,2.19
14,56.12,2.3
15,18.3,2.15
16,17.5,2.16
17,33.3,2.2
18,35.2,2.25
19,20.2,2.21
20,10.7,2.21
21,5.8,2.21
22,54.1,2.23
23,74.45,2.27
24,35.8,2.16
25,48.1,2.18
26,53.6,2.19
27,39.5,2.15
28,56.6,2.1
29,28.9,2.13
30,25.3,2.12
31,12.5,2.13
32,16.0,2.13
33,27.8,2.11
34,31.8,2.1
35,33.05,2.16
36,41.65,2.2
37,29.1,2.18
38,56.8,2.22
39,33.6,2.2
40,6.9,2.17
41,11.9,2.18
42,15.0,2.15
43,25.1,2.14
44,36.5,2.17
45,16.8,2.15
46,29.8,2.19
47,10.3,2.15
48,30.0,2.14
49,22.0,2.15
50,26.8,2.15
51,34.83,2.2
52,14.9,2.13
53,17.2,2.1
54,13.0,2.12
55,15.1,2.15
56,20.6,2.2
57,6.3,2.19
58,6.7,2.18
59,46.0,2.18
60,21.8,2.14
61,17.8,2.14
62,18.2,2.16
63,17.4,2.18
64,20.4,2.18
65,40.9,2.22
66,21.5,2.22
67,52.3,2.36
68,32.7,2.19
69,37.7,2.21
70,39.2,2.22
71,24.3,2.25
72,20.0,2.26
73,67.2,2.27
74,47.17,2.24
75,45.9,2.22
76,32.4,2.17
77,56.7,2.17
78,49.05,2.26
79,36.5,2.25
80,17.2,2.18
81,44.0,2.2
82,34.6,2.16
83,30.5,2.16
84,37.8,2.17
85,16.5,2.17
86,22.9,2.14
87,43.6,2.12
88,46.4,2.13
89,30.2,2.12
90,59.0,2.13
91,20.9,2.12
92,11.7,2.12
93,23.5,2.12
94,34.6,2.12
95,19.1,2.13
96,60.3,2.13
97,52.1,2.15
98,31.0,2.09
99,55.1,2.09
