query_id | cpu_time(ms) | cpu_used(%) | ram_time(ms) | ram_used(gb)
1 | 2025-04-10 22:07:09.296 | 0 | 2025-04-10 22:07:09.304 | 0
1 | 2025-04-10 22:07:09.208 | 4,3 | 2025-04-10 22:07:09.491 | 1,86
2 | 2025-04-10 22:07:09.578 | 15,3 | 2025-04-10 22:07:09.840 | 1,86
3 | 2025-04-10 22:07:09.922 | 30,5 | 2025-04-10 22:07:10.180 | 1,90
4 | 2025-04-10 22:07:10.264 | 58,6 | 2025-04-10 22:07:10.534 | 1,88
5 | 2025-04-10 22:07:10.617 | 33,5 | 2025-04-10 22:07:10.878 | 1,91
6 | 2025-04-10 22:07:10.962 | 13,5 | 2025-04-10 22:07:11.219 | 1,90
7 | 2025-04-10 22:07:11.299 | 30,2 | 2025-04-10 22:07:11.562 | 1,99
8 | 2025-04-10 22:07:11.644 | 29,1 | 2025-04-10 22:07:11.903 | 1,96
9 | 2025-04-10 22:07:11.983 | 37,9 | 2025-04-10 22:07:12.261 | 2,04
9 | 2025-04-10 22:07:12.341 | 33,7 | 2025-04-10 22:07:12.609 | 1,95
10 | 2025-04-10 22:07:12.691 | 20,0 | 2025-04-10 22:07:12.946 | 1,98
10 | 2025-04-10 22:07:13.034 | 14,5 | 2025-04-10 22:07:13.297 | 2,01
11 | 2025-04-10 22:07:13.379 | 12,8 | 2025-04-10 22:07:13.633 | 2,02
12 | 2025-04-10 22:07:13.715 | 24,9 | 2025-04-10 22:07:13.973 | 2,00
13 | 2025-04-10 22:07:14.057 | 52,9 | 2025-04-10 22:07:14.329 | 2,06
13 | 2025-04-10 22:07:14.411 | 2,8 | 2025-04-10 22:07:14.661 | 1,96
14 | 2025-04-10 22:07:14.744 | 22,7 | 2025-04-10 22:07:15.006 | 2,06
15 | 2025-04-10 22:07:15.090 | 36,1 | 2025-04-10 22:07:15.353 | 1,98
16 | 2025-04-10 22:07:15.438 | 27,6 | 2025-04-10 22:07:15.702 | 1,98
17 | 2025-04-10 22:07:15.784 | 33,3 | 2025-04-10 22:07:16.048 | 1,95
18 | 2025-04-10 22:07:16.132 | 60,5 | 2025-04-10 22:07:16.416 | 2,01
19 | 2025-04-10 22:07:16.509 | 30,2 | 2025-04-10 22:07:16.773 | 2,06
20 | 2025-04-10 22:07:16.858 | 29,1 | 2025-04-10 22:07:17.114 | 2,02
21 | 2025-04-10 22:07:17.196 | 41,9 | 2025-04-10 22:07:17.475 | 2,10
21 | 2025-04-10 22:07:17.566 | 3,9 | 2025-04-10 22:07:17.818 | 2,02
22 | 2025-04-10 22:07:17.900 | 16,8 | 2025-04-10 22:07:18.157 | 2,01
