query_id,time (ms),avg_cpu_usage,avg_gpu_usage,avg_ram_usage,avg_vram_usage,avg_power_usage
query 1,66,46.5,,,,
query 2,215,53.23999999999999,22.0,,,
query 3,54,54.91,2.0,3.42,4.12,25.43
query 4,995,75.86333333333334,4.9,3.553333333333333,4.12,25.773333333333333
query 5,31,45.5,8.0,3.46,4.12,25.88
query 6,10,43.86,1.0,3.46,4.12,25.35
query 7,26,44.22,1.0,3.44,4.12,25.35
query 8,49,44.86,0.0,3.43,4.12,25.46
query 9,61,44.3,10.0,3.46,4.12,25.46
query 10,170,49.685,11.0,3.46,4.12,39.23
query 12,18,50.63,0.0,3.48,4.12,25.54
query 13,72,58.48,0.0,3.47,4.12,25.46
query 16,5125,45.0752,1.64,3.932,4.120000000000001,25.44843137254902
query 17,399,69.32,0.0,3.5,4.12,31.063333333333333
query 18,1934,81.19421052631579,4.555555555555555,3.648947368421053,4.120000000000001,25.48157894736842
query 19,45,61.71,6.0,3.72,4.12,25.57
query 20,432,60.175,5.5,3.474,4.12,25.6375
query 22, 168,30.695,0.5,3.52,4.12,25.36
